station,lat,lon,mean_demand,cluster_id,cluster_label
10e avenue / Masson,45.55037651450808,-73.57373356819151,14.106055751361742,0,medium
15e avenue / Laurier,45.55331992800521,-73.56932803988457,6.417997870074547,1,low
1ère avenue / Rosemont,45.54779995287998,-73.58486741781235,8.676877996803409,1,low
5e avenue / Masson,45.54752382909683,-73.57513636350632,10.73164492197493,1,low
Alexandre-DeSève / Ontario,45.52437454361268,-73.56055689979257,13.051044083526682,0,medium
Alma / de Bellechasse,45.531034186281765,-73.60352754592896,6.029419776627622,1,low
André-Laurendeau / Rachel,45.54303187243879,-73.56256484985352,12.91028387787895,0,medium
Atateken / du Square Amherst,45.52063377251984,-73.56390595436096,12.209046100318933,0,medium
Augustin-Cantin / Shearer,45.48390169543355,-73.56363236904144,7.644522776572668,1,low
Aylmer / Prince-Arthur,45.508566869474386,-73.57769787311554,15.667921686746988,0,medium
Aylmer / Sherbrooke,45.50629456823703,-73.57282698154448,9.446308724832214,1,low
Aylmer / Ste-Catherine,45.50434678685089,-73.56894850730896,7.8499392466585665,1,low
Aylwin / Ontario,45.54428297135084,-73.54544162750244,16.065581617999044,0,medium
BAnQ (Berri),45.51601387670667,-73.56291957199574,12.804086845466156,0,medium
Beaudry / Sherbrooke,45.52303493310712,-73.56539458036421,8.429879644165359,1,low
Bennett / Ste-Catherine,45.55315915057821,-73.53263273835182,6.829410208939434,1,low
Bercy / Rachel,45.53840340979245,-73.56196403503418,6.4529014844804315,1,low
Bernard / Jeanne-Mance,45.52428310031213,-73.6049484461546,13.428294103372968,0,medium
Berri / Cherrier,45.519266156911335,-73.5692971944809,17.38582302568982,0,medium
Berri / Gilford,45.52677632748293,-73.58606100082396,12.467865566037736,0,medium
Berri / Laurier,45.52809995527671,-73.58843871625139,13.586652018676189,0,medium
Berri / Rachel,45.52275023118295,-73.57724860310555,20.49311817750356,2,high
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),45.55151193681962,-73.58207792043686,6.553405777895573,1,low
Bishop / René-Lévesque,45.49536795507059,-73.57401251792908,8.432038834951456,1,low
Bishop / Ste-Catherine,45.496597761984034,-73.57650284979172,8.085216268560362,1,low
Bloomfield / Bernard,45.520338193708305,-73.60775470733641,11.380618342426605,1,low
