date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-09-29,24.8,18.7,18.3,11.8,26,,81,57.6,61,41,11.8,9.9,9.7,7.6,27,17.58,18,9,41,23,102.3,102.07,102.11,101.91,101.86,101.63,101.67,101.47,48300,36200,36200,24100,,,,,0,0.3,13.3,11.3,8.3,0,0,0,,06:50:00,1759143000,6.83,18:39:00,1759185540,18.65,11.82,5,5,25,25,13,13,16686,,,,,1,0.3,0.5,0,,,,
2025-09-28,24.9,19.48,19.2,13.5,25,,88,61,58,28,15.8,10.8,10.2,4.5,26,15.17,15.5,5,48,27,102.04,101.53,101.58,101.12,101.6,101.09,101.14,100.69,48300,31158.3,36200,24100,,,,,0,1.2,14.2,12.2,9.2,0,0,0,,06:48:00,1759056480,6.8,18:41:00,1759099260,18.68,11.88,5,5,25,25,12,13,16149,,,,,8,2.3,4,0,,,,
2025-09-27,21.3,16,15.25,9.2,,,86,67.1,64,42,14.4,9.4,10.4,6.4,15,7.21,7.5,0,,,101.69,101.42,101.46,101.22,101.25,100.98,101.02,100.79,48300,33175,36200,24100,,,,,2.8,0,10.2,8.2,5.2,0,0,0,,06:47:00,1758970020,6.78,18:43:00,1759012980,18.72,11.93,5,5,21,22,16,16,15308,,,,,8,4.3,4.5,1,,,,
2025-09-26,21.4,17.4,15.89,10.4,26,,95,84,83.5,72,17.1,14.6,13.7,10.2,24,15.08,14,4,33,27,101.28,100.82,100.89,100.5,100.84,100.39,100.45,100.07,48300,26725,33800,19300,,,,,2.1,0,10.9,8.9,5.9,1,1,0,,06:46:00,1758883560,6.77,18:45:00,1758926700,18.75,11.98,5,5,22,22,10,10,7555,,,,,8,6,5,2,,,,
2025-09-25,18.2,17.18,16.89,15.6,,,97,90.2,86.5,76,17.2,15.5,15.1,13,18,13,12.5,7,,,101.79,101.03,101.1,100.41,101.35,100.6,100.67,99.98,24100,20162.5,13650,3200,,,,,1.1,0,11.9,9.9,6.9,4.8,4.8,0,,06:45:00,1758797100,6.75,18:46:00,1758840360,18.77,12.02,2,2,19,19,16,16,2785,,,,,8,8,7.5,7,,,,
2025-09-24,22.4,17.13,18,13.6,25,,96,80.6,77,58,14.9,13.5,13.3,11.7,21,15.62,13,5,33,5,102.13,101.95,101.96,101.79,101.69,101.51,101.52,101.35,48300,24295.8,26150,4000,,,,,0,0,13,11,8,0,0,0,,06:43:00,1758710580,6.72,18:48:00,1758754080,18.8,12.08,5,5,21,23,16,16,10988,,,,,8,7.1,5,2,,,,
2025-09-23,21.6,18.37,18.39,15.2,26,,97,88,85.5,74,17.1,16.3,15.9,14.8,14,5.62,7,0,,,101.76,101.48,101.53,101.3,101.32,101.04,101.1,100.87,24100,17366.7,13050,2000,,,,,0,0.4,13.4,11.4,8.4,4.6,4.6,0,,06:42:00,1758624120,6.7,18:50:00,1758667800,18.83,12.13,4,4,21,21,16,16,6559,,,,,8,7,5,2,,,,
2025-09-22,21.4,17.4,17.45,13.5,,,94,71.3,75,56,16.1,12,12.2,8.3,17,8.96,8.5,0,27,15,101.86,101.55,101.58,101.29,101.42,101.11,101.14,100.86,48300,34725,30600,12900,,,,,0.6,0,12.4,10.4,7.5,1.2,1.2,0,,06:41:00,1758537660,6.68,18:52:00,1758581520,18.87,12.18,4,5,20,21,17,17,7041,,,,,8,6.5,4,0,,,,
2025-09-21,23.2,14.8,13.8,4.4,,,83,58,58.5,34,10.1,6,5.8,1.6,19,10,11,3,,,102.72,102.36,102.27,101.82,102.28,101.92,101.83,101.38,48300,38216.7,36200,24100,,,,,4.2,0,8.8,6.8,3.8,0,0,0,,06:40:00,1758451200,6.67,18:54:00,1758495240,18.9,12.23,6,6,22,22,13,13,18816,,,,,8,2.7,4,0,,,,
2025-09-20,17.4,11.83,11.35,5.3,,,77,49.5,54.5,32,2.8,1.1,0.6,-1.6,17,7.58,8.5,0,,,102.87,102.71,102.69,102.5,102.43,102.27,102.24,102.06,48300,35191.7,36200,24100,,,,,6.7,0,6.3,4.3,1.4,0,0,0,,06:38:00,1758364680,6.63,18:56:00,1758408960,18.93,12.3,6,6,18,18,4,7,19677,,,,,1,0.7,0.5,0,,,,
